date,source,channel,metric,value,unit,change_pct,window,note
2026-08-07,audit,site,avg_load_time,0.86,seconds,,point,11 of 17 core pages under 1s
2026-08-07,audit,site,crawlability,96,score,,point,
2026-08-07,audit,site,errors_4xx_5xx,0,count,,point,third consecutive clean day
2026-08-07,audit,site,overall_score,88,score,,point,+5 vs 5 Aug (83)
2026-08-07,audit,site,pages_crawled,76,count,,point,sitemap holds at 75 URLs
2026-08-07,audit,site,performance,92,score,,point,
2026-08-07,audit,site,structured_data,87,score,,point,
2026-08-07,seo,ahrefs,backlinks,372,count,,point,
2026-08-07,seo,ahrefs,referring_domains,366,count,,point,
2026-08-07,seo,ga4,engaged_sessions,194,count,,28d,"under-counted, tracking fault from ~29 Jul"
2026-08-07,seo,ga4,sessions,287,count,,28d,"under-counted, tracking fault from ~29 Jul"
2026-08-07,seo,gsc,avg_position,29.6,position,,28d,"down from 13.8, wider coverage"
2026-08-07,seo,gsc,clicks,72,count,53.0,28d,
2026-08-07,seo,gsc,ctr,5.6,percent,,28d,down from 8.0% in June
2026-08-07,seo,gsc,impressions,1288,count,119.0,28d,
2026-08-07,social,facebook,followers,115,count,,point,
2026-08-07,social,facebook,interactions,155,count,131.3,28d,
2026-08-07,social,facebook,interactions_from_followers,110,count,,point,
2026-08-07,social,facebook,interactions_from_non_followers,45,count,,point,
2026-08-07,social,facebook,link_clicks,17,count,88.9,28d,
2026-08-07,social,facebook,net_new_followers,4,count,100,28d,
2026-08-07,social,facebook,video_3s,115,count,85.5,28d,
2026-08-07,social,facebook,viewers,435,count,51.0,28d,
2026-08-07,social,facebook,views,4503,count,171.9,28d,
2026-08-07,social,facebook,views_from_followers_pct,47.4,count,,point,
2026-08-07,social,facebook,views_from_non_followers_pct,52.6,count,,point,
2026-08-07,social,facebook,visits,264,count,388.9,28d,
2026-08-07,social,facebook,watch_time_change_pct,183.3,count,,point,
2026-08-07,social,instagram,followers,44,count,,point,
2026-08-07,social,instagram,following,35,count,,point,
2026-08-07,social,instagram,interactions,60,count,566.7,28d,
2026-08-07,social,instagram,interactions_from_followers_pct,88,count,,point,
2026-08-07,social,instagram,interactions_from_non_followers_pct,12,count,,point,
2026-08-07,social,instagram,posts_total,102,count,,point,
2026-08-07,social,instagram,reach,194,count,70.2,28d,
2026-08-07,social,instagram,reach_from_followers,21,count,,point,
2026-08-07,social,instagram,reach_from_non_followers,174,count,,point,
2026-08-07,social,instagram,views,897,count,84.9,28d,
2026-08-07,social,instagram,views_from_followers_pct,52.0,count,,point,
2026-08-07,social,instagram,views_from_non_followers_pct,48.0,count,,point,
2026-08-07,social,linkedin,comments,0,count,0,28d,
2026-08-07,social,linkedin,followers,58,count,,point,
2026-08-07,social,linkedin,impressions,1692,count,62.5,28d,
2026-08-07,social,linkedin,impressions_now,1692,count,,point,
2026-08-07,social,linkedin,impressions_prior,1041,count,,point,
2026-08-07,social,linkedin,new_followers_30d,7,count,250,28d,
2026-08-07,social,linkedin,page_views,46,count,142.1,28d,
2026-08-07,social,linkedin,reactions,60,count,10.4,28d,
2026-08-07,social,linkedin,reposts,2,count,0,28d,
2026-08-07,social,linkedin,unique_visitors,22,count,100,28d,
2026-08-07,social,youtube,latest_video_views,19,count,,28d,
2026-08-07,social,youtube,subscribers,4,count,,point,
2026-08-07,social,youtube,videos,25,count,,point,
2026-08-07,social,youtube,videos_long_form,14,count,,point,
2026-08-07,social,youtube,videos_shorts,11,count,,point,
2026-08-07,social,youtube,views_28d,28,count,0,28d,
2026-08-07,social,youtube,views_now,28,count,,point,
2026-08-07,social,youtube,views_prior,28,count,,point,
2026-08-07,social,youtube,watch_time_hours,2.4,count,999,28d,
