date,source,channel,metric,value,unit,change_pct,window,note
2026-08-07,audit,site,avg_load_time,0.86,seconds,,point,11 of 17 core pages under 1s
2026-08-07,audit,site,crawlability,96,score,,point,
2026-08-07,audit,site,errors_4xx_5xx,0,count,,point,third consecutive clean day
2026-08-07,audit,site,overall_score,88,score,,point,+5 vs 5 Aug (83)
2026-08-07,audit,site,pages_crawled,76,count,,point,sitemap holds at 75 URLs
2026-08-07,audit,site,performance,92,score,,point,
2026-08-07,audit,site,structured_data,87,score,,point,
2026-08-10,audit,site,articles,55,count,,point,average 2202 words
2026-08-10,audit,site,avg_load_time,0.68,seconds,,point,73/77 pages under 1s; slowest 1.39s
2026-08-10,audit,site,content,87,score,,point,10 pages under 300 words
2026-08-10,audit,site,crawlability,100,score,,point,
2026-08-10,audit,site,errors_4xx_5xx,0,count,,point,
2026-08-10,audit,site,on_page,67,score,,point,
2026-08-10,audit,site,overall_score,92,score,,point,raw 91.6
2026-08-10,audit,site,pages_crawled,77,count,,point,
2026-08-10,audit,site,performance,95,score,,point,
2026-08-10,audit,site,structured_data,99,score,,point,76/77 pages carry JSON-LD
