date,source,channel,metric,value,unit,change_pct,window,note
2026-08-07,social,facebook,followers,115,count,,point,
2026-08-07,social,facebook,interactions,155,count,131.3,28d,
2026-08-07,social,facebook,interactions_from_followers,110,count,,point,
2026-08-07,social,facebook,interactions_from_non_followers,45,count,,point,
2026-08-07,social,facebook,link_clicks,17,count,88.9,28d,
2026-08-07,social,facebook,net_new_followers,4,count,100,28d,
2026-08-07,social,facebook,video_3s,115,count,85.5,28d,
2026-08-07,social,facebook,viewers,435,count,51.0,28d,
2026-08-07,social,facebook,views,4503,count,171.9,28d,
2026-08-07,social,facebook,views_from_followers_pct,47.4,count,,point,
2026-08-07,social,facebook,views_from_non_followers_pct,52.6,count,,point,
2026-08-07,social,facebook,visits,264,count,388.9,28d,
2026-08-07,social,facebook,watch_time_change_pct,183.3,count,,point,
2026-08-07,social,instagram,followers,44,count,,point,
2026-08-07,social,instagram,following,35,count,,point,
2026-08-07,social,instagram,interactions,60,count,566.7,28d,
2026-08-07,social,instagram,interactions_from_followers_pct,88,count,,point,
2026-08-07,social,instagram,interactions_from_non_followers_pct,12,count,,point,
2026-08-07,social,instagram,posts_total,102,count,,point,
2026-08-07,social,instagram,reach,194,count,70.2,28d,
2026-08-07,social,instagram,reach_from_followers,21,count,,point,
2026-08-07,social,instagram,reach_from_non_followers,174,count,,point,
2026-08-07,social,instagram,views,897,count,84.9,28d,
2026-08-07,social,instagram,views_from_followers_pct,52.0,count,,point,
2026-08-07,social,instagram,views_from_non_followers_pct,48.0,count,,point,
2026-08-07,social,linkedin,comments,0,count,0,28d,
2026-08-07,social,linkedin,followers,58,count,,point,
2026-08-07,social,linkedin,impressions,1692,count,62.5,28d,
2026-08-07,social,linkedin,impressions_now,1692,count,,point,
2026-08-07,social,linkedin,impressions_prior,1041,count,,point,
2026-08-07,social,linkedin,new_followers_30d,7,count,250,28d,
2026-08-07,social,linkedin,page_views,46,count,142.1,28d,
2026-08-07,social,linkedin,reactions,60,count,10.4,28d,
2026-08-07,social,linkedin,reposts,2,count,0,28d,
2026-08-07,social,linkedin,unique_visitors,22,count,100,28d,
2026-08-07,social,youtube,latest_video_views,19,count,,28d,
2026-08-07,social,youtube,subscribers,4,count,,point,
2026-08-07,social,youtube,videos,25,count,,point,
2026-08-07,social,youtube,videos_long_form,14,count,,point,
2026-08-07,social,youtube,videos_shorts,11,count,,point,
2026-08-07,social,youtube,views_28d,28,count,0,28d,
2026-08-07,social,youtube,views_now,28,count,,point,
2026-08-07,social,youtube,views_prior,28,count,,point,
2026-08-07,social,youtube,watch_time_hours,2.4,count,999,28d,
2026-08-10,social,facebook,conversations_started,0,count,0,28d,
2026-08-10,social,facebook,followers,115,count,,point,
2026-08-10,social,facebook,interactions,168,count,140.0,28d,
2026-08-10,social,facebook,net_new_followers,4,count,100.0,28d,
2026-08-10,social,facebook,video_3s,113,count,76.6,28d,
2026-08-10,social,facebook,viewers,441,count,50.0,28d,
2026-08-10,social,facebook,views,4777,count,169.7,28d,
2026-08-10,social,facebook,views_from_followers_pct,47.7,percent,10.9,28d,
2026-08-10,social,facebook,visits,271,count,411.3,28d,
2026-08-10,social,facebook,watch_time_minutes,51.6,minutes,173.7,28d,
2026-08-10,social,instagram,followers,44,count,,point,
2026-08-10,social,instagram,interactions,66,count,842.9,28d,
2026-08-10,social,instagram,posts_total,103,count,,point,
2026-08-10,social,instagram,reach,196,count,71.9,28d,
2026-08-10,social,instagram,reach_from_followers,21,count,110.0,28d,
2026-08-10,social,instagram,reach_from_non_followers,176,count,67.6,28d,
2026-08-10,social,instagram,views,909,count,80.7,28d,
2026-08-10,social,instagram,views_from_followers_pct,53.1,percent,0.6,28d,
2026-08-10,social,linkedin,comments,0,count,0,30d,
2026-08-10,social,linkedin,followers,58,count,,point,
2026-08-10,social,linkedin,impressions,1706,count,44.7,30d,
2026-08-10,social,linkedin,new_followers_30d,8,count,300.0,30d,
2026-08-10,social,linkedin,page_views,47,count,123.8,30d,
2026-08-10,social,linkedin,reactions,65,count,7.1,30d,
2026-08-10,social,linkedin,reposts,2,count,0,30d,
2026-08-10,social,linkedin,unique_visitors,22,count,69.2,30d,
2026-08-10,social,youtube,views_28d,28,count,155.0,28d,
2026-08-10,social,youtube,watch_time_hours,2.4,hours,999,28d,"YouTube reports >999%, the true figure is higher"
